"industry_id","L1_code","L1_name","L2_code","L2_name","L3_code","L3_name","L4_code","L4_name","L5_code","L5_name","L6_code","L6_name"
"10000000","10000000","Mining and Logging","10900000","Mining and Logging","10990000","Mining and Logging","10999000","Mining and Logging","10999900","Mining and Logging","10999999","Mining and Logging"
"10113300","10000000","Mining and Logging","10900000","Mining and Logging","10110000","Logging","10119000","Logging","10113300","Logging","10113399","Logging"
"10210000","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10219000","Mining, Quarrying, and Oil and Gas Extraction","10219900","Mining, Quarrying, and Oil and Gas Extraction","10219999","Mining, Quarrying, and Oil and Gas Extraction"
"10211000","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10211000","Oil and Gas Extraction","10211900","Oil and Gas Extraction","10211999","Oil and Gas Extraction"
"10212000","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10212000","Mining (except Oil and Gas)","10212900","Mining (except Oil and Gas)","10212999","Mining (except Oil and Gas)"
"10212100","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10212000","Mining (except Oil and Gas)","10212100","Coal Mining","10212199","Coal Mining"
"10212200","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10212000","Mining (except Oil and Gas)","10212200","Metal Ore Mining","10212299","Metal Ore Mining"
"10213000","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10213000","Support Activities for Mining","10213900","Support Activities for Mining","10213999","Support Activities for Mining"
"10213111","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10213000","Support Activities for Mining","10213100","Drilling Oil and Gas Wells","10213111","Drilling Oil and Gas Wells"
"10213112","10000000","Mining and Logging","10900000","Mining and Logging","10210000","Mining, Quarrying, and Oil and Gas Extraction","10213000","Support Activities for Mining","10213100","Support Activities for Oil and Gas Operations","10213112","Support Activities for Oil and Gas Operations"
"20000000","20000000","Construction","20900000","Construction","20990000","Construction","20999000","Construction","20999900","Construction","20999999","Construction"
"20236000","20000000","Construction","20900000","Construction","20990000","Construction","20236000","Construction of Buildings","20236900","Construction of Buildings","20236999","Construction of Buildings"
"20236100","20000000","Construction","20900000","Construction","20990000","Construction","20236000","Construction of Buildings","20236100","Residential Building Construction","20236199","Residential Building Construction"
"20236200","20000000","Construction","20900000","Construction","20990000","Construction","20236000","Construction of Buildings","20236200","Nonresidential Building Construction","20236299","Nonresidential Building Construction"
"20237000","20000000","Construction","20900000","Construction","20990000","Construction","20237000","Heavy and Civil Engineering Construction","20237900","Heavy and Civil Engineering Construction","20237999","Heavy and Civil Engineering Construction"
"20237100","20000000","Construction","20900000","Construction","20990000","Construction","20237000","Heavy and Civil Engineering Construction","20237100","Utility System Construction","20237199","Utility System Construction"
"20237200","20000000","Construction","20900000","Construction","20990000","Construction","20237000","Heavy and Civil Engineering Construction","20237200","Land Subdivision","20237299","Land Subdivision"
"20237300","20000000","Construction","20900000","Construction","20990000","Construction","20237000","Heavy and Civil Engineering Construction","20237300","Highway, Street, and Bridge Construction","20237399","Highway, Street, and Bridge Construction"
"20237900","20000000","Construction","20900000","Construction","20990000","Construction","20237000","Heavy and Civil Engineering Construction","20237900","Other Heavy and Civil Engineering Construction","20237999","Other Heavy and Civil Engineering Construction"
"20238000","20000000","Construction","20900000","Construction","20990000","Construction","20238000","Specialty Trade Contractors","20238900","Specialty Trade Contractors","20238999","Specialty Trade Contractors"
"20238100","20000000","Construction","20900000","Construction","20990000","Construction","20238000","Specialty Trade Contractors","20238100","Foundation, Structure, and Building Exterior Contractors","20238199","Foundation, Structure, and Building Exterior Contractors"
"20238200","20000000","Construction","20900000","Construction","20990000","Construction","20238000","Specialty Trade Contractors","20238200","Building Equipment Contractors","20238299","Building Equipment Contractors"
"20238300","20000000","Construction","20900000","Construction","20990000","Construction","20238000","Specialty Trade Contractors","20238300","Building Finishing Contractors","20238399","Building Finishing Contractors"
"20238900","20000000","Construction","20900000","Construction","20990000","Construction","20238000","Specialty Trade Contractors","20238900","Other Specialty Trade Contractors","20238999","Other Specialty Trade Contractors"
"30000000","30000000","Manufacturing","30900000","Manufacturing","30990000","Manufacturing","30999000","Manufacturing","30999900","Manufacturing","30999999","Manufacturing"
"31000000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31999000","Durable Goods","31999900","Durable Goods","31999999","Durable Goods"
"31321000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31321000","Wood Product Manufacturing","31321900","Wood Product Manufacturing","31321999","Wood Product Manufacturing"
"31321100","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31321000","Wood Product Manufacturing","31321100","Sawmills and Wood Preservation","31321199","Sawmills and Wood Preservation"
"31321200","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31321000","Wood Product Manufacturing","31321200","Veneer, Plywood, and Engineered Wood Product Manufacturing","31321299","Veneer, Plywood, and Engineered Wood Product Manufacturing"
"31321900","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31321000","Wood Product Manufacturing","31321900","Other Wood Product Manufacturing","31321999","Other Wood Product Manufacturing"
"31327000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31327000","Nonmetallic Mineral Product Manufacturing","31327900","Nonmetallic Mineral Product Manufacturing","31327999","Nonmetallic Mineral Product Manufacturing"
"31327300","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31327000","Nonmetallic Mineral Product Manufacturing","31327300","Cement and Concrete Product Manufacturing","31327399","Cement and Concrete Product Manufacturing"
"31331000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31331000","Primary Metal Manufacturing","31331900","Primary Metal Manufacturing","31331999","Primary Metal Manufacturing"
"31331100","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31331000","Primary Metal Manufacturing","31331100","Iron and Steel Mills and Ferroalloy Manufacturing","31331199","Iron and Steel Mills and Ferroalloy Manufacturing"
"31331500","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31331000","Primary Metal Manufacturing","31331500","Foundries","31331599","Foundries"
"31332000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31332000","Fabricated Metal Product Manufacturing","31332900","Fabricated Metal Product Manufacturing","31332999","Fabricated Metal Product Manufacturing"
"31332300","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31332000","Fabricated Metal Product Manufacturing","31332300","Architectural and Structural Metals Manufacturing","31332399","Architectural and Structural Metals Manufacturing"
"31332700","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31332000","Fabricated Metal Product Manufacturing","31332700","Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing","31332799","Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
"31332900","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31332000","Fabricated Metal Product Manufacturing","31332900","Other Fabricated Metal Product Manufacturing","31332999","Other Fabricated Metal Product Manufacturing"
"31333000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31333000","Machinery Manufacturing","31333900","Machinery Manufacturing","31333999","Machinery Manufacturing"
"31333100","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31333000","Machinery Manufacturing","31333100","Agriculture, Construction, and Mining Machinery Manufacturing","31333199","Agriculture, Construction, and Mining Machinery Manufacturing"
"31333200","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31333000","Machinery Manufacturing","31333200","Industrial Machinery Manufacturing","31333299","Industrial Machinery Manufacturing"
"31333300","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31333000","Machinery Manufacturing","31333300","Commercial and Service Industry Machinery Manufacturing","31333399","Commercial and Service Industry Machinery Manufacturing"
"31333500","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31333000","Machinery Manufacturing","31333500","Metalworking Machinery Manufacturing","31333599","Metalworking Machinery Manufacturing"
"31333600","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31333000","Machinery Manufacturing","31333600","Engine, Turbine, and Power Transmission Equipment Manufacturing","31333699","Engine, Turbine, and Power Transmission Equipment Manufacturing"
"31333900","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31333000","Machinery Manufacturing","31333900","Other General Purpose Machinery Manufacturing","31333999","Other General Purpose Machinery Manufacturing"
"31334000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334900","Computer and Electronic Product Manufacturing","31334999","Computer and Electronic Product Manufacturing"
"31334100","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334100","Computer and Peripheral Equipment Manufacturing","31334199","Computer and Peripheral Equipment Manufacturing"
"31334111","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334100","Electronic Computer Manufacturing","31334111","Electronic Computer Manufacturing"
"31334200","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334200","Communications Equipment Manufacturing","31334299","Communications Equipment Manufacturing"
"31334400","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334400","Semiconductor and Other Electronic Component Manufacturing","31334499","Semiconductor and Other Electronic Component Manufacturing"
"31334412","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334400","Bare Printed Circuit Board Manufacturing","31334412","Bare Printed Circuit Board Manufacturing"
"31334413","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334400","Semiconductor and Related Device Manufacturing","31334413","Semiconductor and Related Device Manufacturing"
"31334500","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31334000","Computer and Electronic Product Manufacturing","31334500","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","31334599","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
"31335000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31335000","Electrical Equipment, Appliance, and Component Manufacturing","31335900","Electrical Equipment, Appliance, and Component Manufacturing","31335999","Electrical Equipment, Appliance, and Component Manufacturing"
"31335200","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31335000","Electrical Equipment, Appliance, and Component Manufacturing","31335200","Household Appliance Manufacturing","31335299","Household Appliance Manufacturing"
"31335300","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31335000","Electrical Equipment, Appliance, and Component Manufacturing","31335300","Electrical Equipment Manufacturing","31335399","Electrical Equipment Manufacturing"
"31336000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31336000","Transportation Equipment Manufacturing","31336900","Transportation Equipment Manufacturing","31336999","Transportation Equipment Manufacturing"
"31336100","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31336000","Transportation Equipment Manufacturing","31336100","Motor Vehicle Manufacturing","31336199","Motor Vehicle Manufacturing"
"31336200","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31336000","Transportation Equipment Manufacturing","31336200","Motor Vehicle Body and Trailer Manufacturing","31336299","Motor Vehicle Body and Trailer Manufacturing"
"31336300","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31336000","Transportation Equipment Manufacturing","31336300","Motor Vehicle Parts Manufacturing","31336399","Motor Vehicle Parts Manufacturing"
"31336400","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31336000","Transportation Equipment Manufacturing","31336400","Aerospace Product and Parts Manufacturing","31336499","Aerospace Product and Parts Manufacturing"
"31336600","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31336000","Transportation Equipment Manufacturing","31336600","Ship and Boat Building","31336699","Ship and Boat Building"
"31337000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31337000","Furniture and Related Product Manufacturing","31337900","Furniture and Related Product Manufacturing","31337999","Furniture and Related Product Manufacturing"
"31337100","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31337000","Furniture and Related Product Manufacturing","31337100","Household and Institutional Furniture and Kitchen Cabinet Manufacturing","31337199","Household and Institutional Furniture and Kitchen Cabinet Manufacturing"
"31339000","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31339000","Miscellaneous durable goods manufacturing","31339900","Miscellaneous durable goods manufacturing","31339999","Miscellaneous durable goods manufacturing"
"31339100","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31339000","Miscellaneous durable goods manufacturing","31339100","Medical Equipment and Supplies Manufacturing","31339199","Medical Equipment and Supplies Manufacturing"
"31339900","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31339000","Miscellaneous durable goods manufacturing","31339900","Other Miscellaneous Manufacturing","31339999","Other Miscellaneous Manufacturing"
"31339910","30000000","Manufacturing","31000000","Durable Goods","31990000","Durable Goods","31339000","Miscellaneous durable goods manufacturing","31339900","Jewelry and Silverware Manufacturing","31339910","Jewelry and Silverware Manufacturing"
"32000000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32999000","Non-Durable Goods","32999900","Non-Durable Goods","32999999","Non-Durable Goods"
"32311000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311900","Food Manufacturing","32311999","Food Manufacturing"
"32311200","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311200","Grain and Oilseed Milling","32311299","Grain and Oilseed Milling"
"32311400","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311400","Fruit and Vegetable Preserving and Specialty Food Manufacturing","32311499","Fruit and Vegetable Preserving and Specialty Food Manufacturing"
"32311500","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311500","Dairy Product Manufacturing","32311599","Dairy Product Manufacturing"
"32311600","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311600","Animal Slaughtering and Processing","32311699","Animal Slaughtering and Processing"
"32311700","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311700","Seafood Product Preparation and Packaging","32311799","Seafood Product Preparation and Packaging"
"32311800","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311800","Bakeries and Tortilla Manufacturing","32311899","Bakeries and Tortilla Manufacturing"
"32311900","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32311000","Food Manufacturing","32311900","Other Food Manufacturing","32311999","Other Food Manufacturing"
"32312000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32312000","Beverage and Tobacco Product Manufacturing","32312900","Beverage and Tobacco Product Manufacturing","32312999","Beverage and Tobacco Product Manufacturing"
"32312100","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32312000","Beverage and Tobacco Product Manufacturing","32312100","Beverage Manufacturing","32312199","Beverage Manufacturing"
"32312200","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32312000","Beverage and Tobacco Product Manufacturing","32312200","Tobacco Manufacturing","32312299","Tobacco Manufacturing"
"32313000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32313000","Textile Mills","32313900","Textile Mills","32313999","Textile Mills"
"32313100","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32313000","Textile Mills","32313100","Fiber, Yarn, and Thread Mills","32313199","Fiber, Yarn, and Thread Mills"
"32313200","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32313000","Textile Mills","32313200","Fabric Mills","32313299","Fabric Mills"
"32313300","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32313000","Textile Mills","32313300","Textile and Fabric Finishing and Fabric Coating Mills","32313399","Textile and Fabric Finishing and Fabric Coating Mills"
"32314000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32314000","Textile Product Mills","32314900","Textile Product Mills","32314999","Textile Product Mills"
"32314100","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32314000","Textile Product Mills","32314100","Textile Furnishings Mills","32314199","Textile Furnishings Mills"
"32315000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32315000","Apparel Manufacturing","32315900","Apparel Manufacturing","32315999","Apparel Manufacturing"
"32315100","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32315000","Apparel Manufacturing","32315100","Apparel Knitting Mills","32315199","Apparel Knitting Mills"
"32315200","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32315000","Apparel Manufacturing","32315200","Cut and Sew Apparel Manufacturing","32315299","Cut and Sew Apparel Manufacturing"
"32322000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32322000","Paper Manufacturing","32322900","Paper Manufacturing","32322999","Paper Manufacturing"
"32322100","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32322000","Paper Manufacturing","32322100","Pulp, Paper, and Paperboard Mills","32322199","Pulp, Paper, and Paperboard Mills"
"32322200","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32322000","Paper Manufacturing","32322200","Converted Paper Product Manufacturing","32322299","Converted Paper Product Manufacturing"
"32323000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32323000","Printing and Related Support Activities","32323900","Printing and Related Support Activities","32323999","Printing and Related Support Activities"
"32324000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32324000","Petroleum and Coal Products Manufacturing","32324900","Petroleum and Coal Products Manufacturing","32324999","Petroleum and Coal Products Manufacturing"
"32325000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32325000","Chemical Manufacturing","32325900","Chemical Manufacturing","32325999","Chemical Manufacturing"
"32325100","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32325000","Chemical Manufacturing","32325100","Basic Chemical Manufacturing","32325199","Basic Chemical Manufacturing"
"32325400","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32325000","Chemical Manufacturing","32325400","Pharmaceutical and Medicine Manufacturing","32325499","Pharmaceutical and Medicine Manufacturing"
"32325600","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32325000","Chemical Manufacturing","32325600","Soap, Cleaning Compound, and Toilet Preparation Manufacturing","32325699","Soap, Cleaning Compound, and Toilet Preparation Manufacturing"
"32326000","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32326000","Plastics and Rubber Products Manufacturing","32326900","Plastics and Rubber Products Manufacturing","32326999","Plastics and Rubber Products Manufacturing"
"32326100","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32326000","Plastics and Rubber Products Manufacturing","32326100","Plastics Product Manufacturing","32326199","Plastics Product Manufacturing"
"32326200","30000000","Manufacturing","32000000","Non-Durable Goods","32990000","Non-Durable Goods","32326000","Plastics and Rubber Products Manufacturing","32326200","Rubber Product Manufacturing","32326299","Rubber Product Manufacturing"
"40000000","40000000","Trade, Transportation, and Utilities","40900000","Trade, Transportation, and Utilities","40990000","Trade, Transportation, and Utilities","40999000","Trade, Transportation, and Utilities","40999900","Trade, Transportation, and Utilities","40999999","Trade, Transportation, and Utilities"
"41000000","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41999000","Wholesale Trade","41999900","Wholesale Trade","41999999","Wholesale Trade"
"41423000","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423900","Merchant Wholesalers, Durable Goods","41423999","Merchant Wholesalers, Durable Goods"
"41423100","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423100","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","41423199","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers"
"41423200","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423200","Furniture and Home Furnishing Merchant Wholesalers","41423299","Furniture and Home Furnishing Merchant Wholesalers"
"41423300","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423300","Lumber and Other Construction Materials Merchant Wholesalers","41423399","Lumber and Other Construction Materials Merchant Wholesalers"
"41423400","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423400","Professional and Commercial Equipment and Supplies Merchant Wholesalers","41423499","Professional and Commercial Equipment and Supplies Merchant Wholesalers"
"41423600","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423600","Household Appliances and Electrical and Electronic Goods Merchant Wholesalers","41423699","Household Appliances and Electrical and Electronic Goods Merchant Wholesalers"
"41423700","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423700","Hardware, and Plumbing and Heating Equipment and Supplies Merchant Whole","41423799","Hardware, and Plumbing and Heating Equipment and Supplies Merchant Whole"
"41423800","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423800","Machinery, Equipment, and Supplies Merchant Wholesalers","41423899","Machinery, Equipment, and Supplies Merchant Wholesalers"
"41423900","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41423000","Merchant Wholesalers, Durable Goods","41423900","Miscellaneous Durable Goods Merchant Wholesalers","41423999","Miscellaneous Durable Goods Merchant Wholesalers"
"41424000","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41424000","Merchant Wholesalers, Nondurable Goods","41424900","Merchant Wholesalers, Nondurable Goods","41424999","Merchant Wholesalers, Nondurable Goods"
"41424100","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41424000","Merchant Wholesalers, Nondurable Goods","41424100","Paper and Paper Product Merchant Wholesalers","41424199","Paper and Paper Product Merchant Wholesalers"
"41424300","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41424000","Merchant Wholesalers, Nondurable Goods","41424300","Apparel, Piece Goods, and Notions Merchant Wholesalers","41424399","Apparel, Piece Goods, and Notions Merchant Wholesalers"
"41424400","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41424000","Merchant Wholesalers, Nondurable Goods","41424400","Grocery and Related Product Merchant Wholesalers","41424499","Grocery and Related Product Merchant Wholesalers"
"41424600","40000000","Trade, Transportation, and Utilities","41000000","Wholesale Trade","41990000","Wholesale Trade","41424000","Merchant Wholesalers, Nondurable Goods","41424600","Chemical and Allied Products Merchant Wholesalers","41424699","Chemical and Allied Products Merchant Wholesalers"
